address	name	sizeInBytes	callerCount	calleeCount
0x80021d44	FUN_80021d44	80	0	7
0x80021d94	FUN_80021d94	256	0	7
0x80021e94	FUN_80021e94	216	2	7
0x80021f6c	FUN_80021f6c	168	0	6
0x80022014	FUN_80022014	112	2	3
0x80022084	FUN_80022084	112	2	2
0x800220f4	FUN_800220f4	64	2	1
0x80022134	FUN_80022134	100	2	2
0x80022198	FUN_80022198	152	2	4
0x80022230	FUN_80022230	116	3	1
0x800222a4	FUN_800222a4	116	2	1
0x80022318	FUN_80022318	72	3	1
0x80022360	FUN_80022360	72	2	1
0x800223a8	FUN_800223a8	360	1	4
0x80022510	FUN_80022510	584	1	4
0x80022758	FUN_80022758	280	2	5
0x80022870	FUN_80022870	308	1	5
0x800229a4	FUN_800229a4	144	1	1
0x80022a34	FUN_80022a34	40	0	1
0x80022a5c	FUN_80022a5c	44	0	1
0x80022a88	FUN_80022a88	40	1	1
0x80022ab0	FUN_80022ab0	2148	3	11
0x80023314	FUN_80023314	1404	0	10
0x80023890	FUN_80023890	5096	1	10
0x80024c78	FUN_80024c78	2076	1	3
0x80025494	FUN_80025494	220	1	1
0x80025570	FUN_80025570	492	1	1
0x8002575c	FUN_8002575c	736	1	1
0x80025a3c	FUN_80025a3c	212	1	1
0x80025b10	FUN_80025b10	692	1	1
0x80025dc4	FUN_80025dc4	372	2	1
0x80025f38	FUN_80025f38	692	1	1
0x800261ec	FUN_800261ec	304	1	1
0x8002631c	FUN_8002631c	264	2	1
0x80026424	FUN_80026424	180	1	0
0x800264d8	FUN_800264d8	608	1	2
0x80026a28	FUN_80026a28	64	3	0
0x80026a68	FUN_80026a68	88	1	2
0x80026ac0	FUN_80026ac0	584	1	1
0x80026d08	FUN_80026d08	144	1	1
0x80026d98	FUN_80026d98	1448	1	2
0x80027340	FUN_80027340	816	1	6
0x80027670	FUN_80027670	6600	0	3
0x800290d0	FUN_800290d0	76	1	1
0x800297b0	FUN_800297b0	312	0	5
0x800299e8	FUN_800299e8	176	0	0
0x8002c424	FUN_8002c424	84	0	2
0x8002c478	FUN_8002c478	140	1	0
0x800304f0	FUN_800304f0	88	0	2
0x80030548	FUN_80030548	164	1	0
0x800319ac	FUN_800319ac	268	0	0
0x80031ab8	FUN_80031ab8	164	2	0
0x80031dc8	FUN_80031dc8	108	0	1
0x80031e34	FUN_80031e34	120	0	0
0x80031eac	FUN_80031eac	104	0	0
0x80031f14	FUN_80031f14	92	0	0
0x80031f70	FUN_80031f70	112	0	0
0x80031fe0	FUN_80031fe0	340	0	0
0x80032134	FUN_80032134	328	1	0
0x800322d0	FUN_800322d0	132	1	0
0x800326ac	FUN_800326ac	1400	1	2
0x80032c24	FUN_80032c24	628	1	0
0x80033020	FUN_80033020	496	1	0
0x80033210	FUN_80033210	852	1	0
0x80033564	FUN_80033564	892	1	0
0x800338e0	FUN_800338e0	900	1	0
0x80033c64	FUN_80033c64	796	1	10
0x800340a8	FUN_800340a8	1764	1	11
0x8003478c	FUN_8003478c	140	1	0
0x80034818	FUN_80034818	1408	1	2
0x80034d98	FUN_80034d98	116	1	3
0x80034e10	DecompressLZSS	156	4	0
0x80035030	FUN_80035030	1708	0	5
0x800356dc	FUN_800356dc	476	0	7
0x800358b8	RenderBattleScene3D	3208	0	10
0x80036540	FUN_80036540	184	1	0
0x800365f8	FUN_800365f8	184	1	0
0x800366b0	FUN_800366b0	184	1	0
0x80036768	ExecuteAnimStreamBatch	764	0	6
0x80036a64	FUN_80036a64	2312	0	9
0x800373a0	AnimCmd_RenderEntryGroup	1	0	0
0x80037e30	AnimCmd_LoadTexture	1	0	0
0x80037f20	AnimCmd_SetCharRenderState	660	2	0
0x80038720	AnimCmd_SetMeshPaletteRange	1	0	0
0x80038a34	AnimCmd_AddPrimsToOT	1	0	0
0x80038bd0	AnimCmd_AsyncLoadTexture	1	0	0
0x80038d5c	AnimCmd_ApplyCharEffect	1	0	0
0x80038ed4	AnimCmd_ConditionalBranch	1	0	0
0x8003913c	AnimCmd_AnimateVertexColors	1	0	0
0x80039600	AnimCmd_AnimatePolyColorRGBA	1	0	0
0x80039c18	AnimCmd_XAddSet	1	0	0
0x80039df0	AnimCmd_PartsLink	1	0	0
0x8003a034	AnimCmd_XMaxSet	1	0	0
0x8003a1ac	AnimCmd_Rgb2Set	1	0	0
0x8003a6c4	AnimCmd_Utility	1	0	0
0x8003ae50	AnimCmd_BitChk	1	0	0
