adresse_vs	nom	taille	fichier_vs	cs_vs	image	adresse	fichier	cs	diff_strict	sdk
0x8003478C	FUN_8003478c	140	VS_EXE/FighterSetup.cs	FighterSetup.FUN_8003478c	TITLE	0x800350F4	TITLE_EXE/SecondScreenSetup.cs	SecondScreenSetup.FUN_800350f4	0	False
0x80034E10	DecompressLZSS	156	VS_EXE/FileIo.cs	FileIo.DecompressLZSS	TITLE	0x80035778	TITLE_EXE/TitleImages.cs	TitleImages.DecompressLzss	0	False
0x80034E10	DecompressLZSS	156	VS_EXE/FileIo.cs	FileIo.DecompressLZSS	SELECT	0x80026108	SELECT_EXE/Decompressor.cs	Decompressor.DecompressLzss	0	False
0x800511A8	FUN_800511a8	292	VS_EXE/FighterSetup.cs	FighterSetup.FUN_800511a8	TITLE	0x8004737C	TITLE_EXE/SecondScreenSetup.cs	SecondScreenSetup.FUN_8004737c	0	False
0x800512CC	FUN_800512cc	1164	VS_EXE/FighterSetup.cs	FighterSetup.FUN_800512cc	TITLE	0x800474A0	TITLE_EXE/SecondScreenSetup.cs	SecondScreenSetup.FUN_800474a0	0	False
0x80053330	FUN_80053330	540	VS_EXE/TaskSystem.cs	TaskSystem.CreateTask	TITLE	0x80049504	TITLE_EXE/TaskSystem.cs	TaskSystem.CreateTask	0	False
0x8005354C	FUN_8005354c	220	VS_EXE/TaskSystem.cs	TaskSystem.DeleteTask	TITLE	0x80049720	TITLE_EXE/TaskSystem.cs	TaskSystem.DeleteTask	0	False
0x80053628	FUN_80053628	536	VS_EXE/TaskSystem.cs	TaskSystem.ExecuteTaskList	TITLE	0x800497FC	TITLE_EXE/TaskSystem.cs	TaskSystem.ExecuteTaskList	0	False
0x80060CDC	LAB_80060cdc*	60	VS_EXE/PrimitivePools.cs	PrimitivePools.ResetPrimitivePoolCursors	TITLE	0x80056D84	TITLE_EXE/PrimitivePools.cs	PrimitivePools.ResetPrimitivePoolCursors	0	False
0x80060D18	FUN_80060d18	436	VS_EXE/PrimitivePools.cs	PrimitivePools.CreatePrimitivePools	TITLE	0x80056DC0	TITLE_EXE/PrimitivePools.cs	PrimitivePools.CreatePrimitivePools	1	False
0x80060ECC	FUN_80060ecc	188	VS_EXE/PrimitivePools.cs	PrimitivePools.AllocatePrimitivePool	TITLE	0x80056F74	TITLE_EXE/PrimitivePools.cs	PrimitivePools.AllocatePrimitivePool	0	False
0x80060F88	FUN_80060f88	100	VS_EXE/PrimitivePools.cs	PrimitivePools.FreePrimitivePool	TITLE	0x80057030	TITLE_EXE/PrimitivePools.cs	PrimitivePools.FreePrimitivePool	0	False
0x80060FEC	FUN_80060fec	536	VS_EXE/PrimitivePools.cs	PrimitivePools.InitializePrimitivePool	TITLE	0x80057094	TITLE_EXE/PrimitivePools.cs	PrimitivePools.InitializePrimitivePool	0	False
0x80061204	FUN_80061204	216	VS_EXE/PrimitivePools.cs	PrimitivePools.InitializePolyFt4	TITLE	0x800572AC	TITLE_EXE/StageBackdrop.cs	StageBackdrop.InitializePolyFt4	0	False
0x80061460	FUN_80061460	76	VS_EXE/FileIo.cs	FileIo.ClearVram	TITLE	0x80057508	TITLE_EXE/TITLE_EXE_exe.cs	TITLE_EXE_exe.ClearVram	0	False
0x80061460	FUN_80061460	76	VS_EXE/FileIo.cs	FileIo.ClearVram	SELECT	0x800308BC	SELECT_EXE/SelectScreen.cs	SelectScreen.ClearVram	0	False
0x800615CC	FUN_800615cc	532	VS_EXE/FileIo.cs	FileIo.SetupGeometry	TITLE	0x80057674	TITLE_EXE/TITLE_EXE_exe.cs	TITLE_EXE_exe.SetupGeometry	0	False
0x80061800	FUN_80061800	608	VS_EXE/PadInput.cs	PadInput.ProcessPadInput	TITLE	0x800578A8	TITLE_EXE/PadInput.cs	PadInput.ProcessPadInput	2	False
0x80061A60	DecompressAndLoadImage	172	VS_EXE/FileIo.cs	FileIo.DecompressAndLoadImage	TITLE	0x80057B08	TITLE_EXE/TitleImages.cs	TitleImages.LoadCompressedImageInVram	0	False
0x80061B0C	LoadImage_ReturnTPageOrClutId	204	VS_EXE/FileIo.cs	FileIo.LoadImage_ReturnTPageOrClutId	TITLE	0x80057BB4	TITLE_EXE/DisplayMachine.cs	DisplayMachine.LoadImageInVram	0	False
0x80061D4C	FUN_80061d4c	76	VS_EXE/FileIo.cs	FileIo.ReadFile	TITLE	0x80057DF4	TITLE_EXE/TITLE_EXE_exe.cs	TITLE_EXE_exe.ReadFile	0	False
0x80061D98	FUN_80061d98	248	VS_EXE/FileIo.cs	FileIo.ReadCDData	TITLE	0x80057E40	TITLE_EXE/TITLE_EXE_exe.cs	TITLE_EXE_exe.ReadCDData	0	False
0x80061ED8	FUN_80061ed8	68	VS_EXE/FileIo.cs	FileIo.WaitSearchFile	TITLE	0x80057F80	TITLE_EXE/TITLE_EXE_exe.cs	TITLE_EXE_exe.WaitSearchFile	0	False
0x800620B0	FUN_800620b0	132	VS_EXE/Heap.cs	Heap.ShutdownAndLoadExecutable	TITLE	0x80058158	TITLE_EXE/FrameLoop.cs	FrameLoop.ShutdownAndLoadExecutable	0	False
0x80072F50	start	168	VS_EXE/VS_EXE_exe.cs	VS_EXE_exe.start	SELECT	0x800347C4	SELECT_EXE/SELECT_EXE_exe.cs	SELECT_EXE_exe.start	0	True
0x8007AB80	LoadExec	16	VS_EXE/Heap.cs	Heap.LoadExec	TITLE	0x80070DB4	TITLE_EXE/FrameLoop.cs	FrameLoop.LoadExec	0	True
0x8007AB80	LoadExec	16	VS_EXE/Heap.cs	Heap.LoadExec	SELECT	0x8004ED74	SELECT_EXE/OverlayExit.cs	OverlayExit.LoadExec	0	True
0x8007AB80	LoadExec	16	VS_EXE/Heap.cs	Heap.LoadExec	SLPS	0x800218BC	SLPS_003_55/SLPS_003_55_exe.cs	SLPS_003_55_exe.LoadExec	0	True
