adresse	nom_ghidra	taille_octets	etat	fichier_cs	appelants_(plafonne_a_4)
0x8002C504	LAB_8002c504	8524	ABSENTE_DU_PORTAGE	-	0
0x8005A5B0	FUN_8005a5b0	8500	SOUCHE_BLOCKED	BattleManager.cs	3
0x80027670	FUN_80027670	6600	SOUCHE_BLOCKED	VS_EXE_exe.cs	0
0x800438C0	FUN_800438c0	6248	SOUCHE_BLOCKED	AnimCmdEffects.cs	3
0x8002ECC0	LAB_8002ecc0	6192	ABSENTE_DU_PORTAGE	-	0
0x80023890	FUN_80023890	5096	ABSENTE_DU_PORTAGE	-	1
0x8002B1B8	LAB_8002b1b8	4716	ABSENTE_DU_PORTAGE	-	0
0x80029A98	LAB_80029a98	4320	ABSENTE_DU_PORTAGE	-	0
0x800305EC	LAB_800305ec	3592	ABSENTE_DU_PORTAGE	-	0
0x800594B4	FUN_800594b4	2528	SOUCHE_BLOCKED	BattleManager.cs	1
0x80058338	FUN_80058338	2440	ABSENTE_DU_PORTAGE	-	1
0x80022AB0	FUN_80022ab0	2148	ABSENTE_DU_PORTAGE	-	3
0x80024C78	FUN_80024c78	2076	ABSENTE_DU_PORTAGE	-	1
0x8005D25C	FUN_8005d25c	2076	ABSENTE_DU_PORTAGE	-	1
0x8005DA78	FUN_8005da78	1908	ABSENTE_DU_PORTAGE	-	2
0x8004E758	FUN_8004e758	1776	SOUCHE_BLOCKED	FighterTask.cs	3
0x800340A8	FUN_800340a8	1764	ABSENTE_DU_PORTAGE	-	1
0x80045130	FUN_80045130	1764	SOUCHE_BLOCKED	AnimCmdEffects.cs	1
0x80057A7C	FUN_80057a7c	1700	ABSENTE_DU_PORTAGE	-	1
0x8005E1EC	FUN_8005e1ec	1696	ABSENTE_DU_PORTAGE	-	1
0x8002E650	LAB_8002e650	1648	ABSENTE_DU_PORTAGE	-	0
0x8002AB78	LAB_8002ab78	1600	ABSENTE_DU_PORTAGE	-	0
0x800313F4	LAB_800313f4	1464	ABSENTE_DU_PORTAGE	-	0
0x80029200	LAB_80029200	1456	ABSENTE_DU_PORTAGE	-	0
0x80026D98	FUN_80026d98	1448	ABSENTE_DU_PORTAGE	-	1
0x80034818	FUN_80034818	1408	ABSENTE_DU_PORTAGE	-	1
0x80023314	FUN_80023314	1404	ABSENTE_DU_PORTAGE	-	2
0x80052DB4	FUN_80052db4	1404	ABSENTE_DU_PORTAGE	-	4
0x800326AC	FUN_800326ac	1400	ABSENTE_DU_PORTAGE	-	1
0x80049008	FUN_80049008	1316	ABSENTE_DU_PORTAGE	-	1
0x8004EE48	FUN_8004ee48	1292	ABSENTE_DU_PORTAGE	-	1
0x8005C6E4	FUN_8005c6e4	1276	SOUCHE_BLOCKED	BattleManager.cs	3
0x800482EC	FUN_800482ec	1264	ABSENTE_DU_PORTAGE	-	2
0x8005A104	FUN_8005a104	1196	SOUCHE_BLOCKED	BattleManager.cs	1
0x8005404C	LAB_8005404c	1192	ABSENTE_DU_PORTAGE	-	0
0x8004D9F4	FUN_8004d9f4	1180	ABSENTE_DU_PORTAGE	-	1
0x800544F4	LAB_800544f4	1180	ABSENTE_DU_PORTAGE	-	0
0x8005F704	FUN_8005f704	1176	SOUCHE_BLOCKED	BattleScene.cs	3
0x8004E108	FUN_8004e108	1144	ABSENTE_DU_PORTAGE	-	2
0x80042054	FUN_80042054	1116	SOUCHE_BLOCKED	BattleScene.cs	4
0x8004C3E0	FUN_8004c3e0	1052	ABSENTE_DU_PORTAGE	-	1
0x8005F068	FUN_8005f068	1048	ABSENTE_DU_PORTAGE	-	1
0x8004A108	FUN_8004a108	1040	ABSENTE_DU_PORTAGE	-	4
0x80053B1C	LAB_80053b1c	1000	ABSENTE_DU_PORTAGE	-	0
0x80049A24	FUN_80049a24	996	ABSENTE_DU_PORTAGE	-	1
0x800424B0	FUN_800424b0	932	ABSENTE_DU_PORTAGE	-	2
0x80062684	FUN_80062684	920	SOUCHE_BLOCKED	VS_EXE_exe.cs	1
0x800338E0	FUN_800338e0	900	ABSENTE_DU_PORTAGE	-	1
0x80033564	FUN_80033564	892	ABSENTE_DU_PORTAGE	-	1
0x800496A8	FUN_800496a8	892	ABSENTE_DU_PORTAGE	-	1
0x8004D694	FUN_8004d694	864	ABSENTE_DU_PORTAGE	-	1
0x800501B8	FUN_800501b8	860	SOUCHE_BLOCKED	FighterTask.cs	1
0x80033210	FUN_80033210	852	ABSENTE_DU_PORTAGE	-	1
0x800411B4	FUN_800411b4	824	SOUCHE_BLOCKED	VS_EXE_exe.cs	3
0x80041D20	FUN_80041d20	820	ABSENTE_DU_PORTAGE	-	1
0x80027340	FUN_80027340	816	ABSENTE_DU_PORTAGE	-	1
0x80033C64	FUN_80033c64	796	ABSENTE_DU_PORTAGE	-	1
0x80042F74	FUN_80042f74	784	ABSENTE_DU_PORTAGE	-	2
0x80041724	FUN_80041724	760	ABSENTE_DU_PORTAGE	-	1
0x8003F994	FUN_8003f994	756	SOUCHE_BLOCKED	AnimCmdEffects.cs	1
0x800432B0	LAB_800432b0	744	ABSENTE_DU_PORTAGE	-	0
0x8002575C	FUN_8002575c	736	ABSENTE_DU_PORTAGE	-	1
0x8004A638	FUN_8004a638	728	ABSENTE_DU_PORTAGE	-	4
0x8003F6C0	FUN_8003f6c0	724	SOUCHE_BLOCKED	AnimCmdMesh.cs	1
0x8006071C	FUN_8006071c	720	ABSENTE_DU_PORTAGE	-	4
0x800558F8	LAB_800558f8	716	ABSENTE_DU_PORTAGE	-	0
0x80045F34	FUN_80045f34	712	SOUCHE_BLOCKED	AnimCmdMesh.cs	4
0x8004FD24	FUN_8004fd24	712	SOUCHE_BLOCKED	FighterTask.cs	4
0x80025B10	FUN_80025b10	692	ABSENTE_DU_PORTAGE	-	1
0x80025F38	FUN_80025f38	692	ABSENTE_DU_PORTAGE	-	1
0x8004AD80	FUN_8004ad80	676	ABSENTE_DU_PORTAGE	-	1
0x8004B098	FUN_8004b098	676	SOUCHE_BLOCKED	FighterTask.cs	1
0x8005515C	LAB_8005515c	652	ABSENTE_DU_PORTAGE	-	0
0x80041AA8	FUN_80041aa8	632	ABSENTE_DU_PORTAGE	-	1
0x80032C24	FUN_80032c24	628	ABSENTE_DU_PORTAGE	-	1
0x80054E24	LAB_80054e24	628	ABSENTE_DU_PORTAGE	-	0
0x8004AA9C	FUN_8004aa9c	624	ABSENTE_DU_PORTAGE	-	3
0x80059E94	FUN_80059e94	624	SOUCHE_BLOCKED	BattleManager.cs	1
0x80031B5C	LAB_80031b5c	620	ABSENTE_DU_PORTAGE	-	0
0x80048C20	FUN_80048c20	616	ABSENTE_DU_PORTAGE	-	1
0x800554E8	LAB_800554e8	612	ABSENTE_DU_PORTAGE	-	0
0x800264D8	FUN_800264d8	608	ABSENTE_DU_PORTAGE	-	1
0x8004CEA0	FUN_8004cea0	604	SOUCHE_BLOCKED	FighterTask.cs	1
0x800429A8	LAB_800429a8	592	ABSENTE_DU_PORTAGE	-	0
0x80022510	FUN_80022510	584	ABSENTE_DU_PORTAGE	-	1
0x80026AC0	FUN_80026ac0	584	ABSENTE_DU_PORTAGE	-	1
0x8004BF50	FUN_8004bf50	584	ABSENTE_DU_PORTAGE	-	2
0x8004D32C	FUN_8004d32c	584	ABSENTE_DU_PORTAGE	-	1
0x80040F78	LAB_80040f78	572	ABSENTE_DU_PORTAGE	-	0
0x800477EC	FUN_800477ec	568	SOUCHE_BLOCKED	FighterTask.cs	4
0x8004D0FC	FUN_8004d0fc	552	ABSENTE_DU_PORTAGE	-	1
0x800489FC	FUN_800489fc	548	ABSENTE_DU_PORTAGE	-	2
0x800487DC	FUN_800487dc	544	ABSENTE_DU_PORTAGE	-	2
0x800414EC	FUN_800414ec	536	SOUCHE_BLOCKED	VS_EXE_exe.cs	1
0x80058120	FUN_80058120	536	ABSENTE_DU_PORTAGE	-	1
0x8004BD3C	FUN_8004bd3c	532	ABSENTE_DU_PORTAGE	-	1
0x8003FC88	LAB_8003fc88	528	ABSENTE_DU_PORTAGE	-	0
0x80033020	FUN_80033020	496	ABSENTE_DU_PORTAGE	-	1
0x80050824	FUN_80050824	496	SOUCHE_BLOCKED	FighterTask.cs	1
0x80025570	FUN_80025570	492	ABSENTE_DU_PORTAGE	-	1
0x8004B68C	FUN_8004b68c	484	ABSENTE_DU_PORTAGE	-	1
0x8004C7FC	FUN_8004c7fc	464	ABSENTE_DU_PORTAGE	-	1
0x80060A88	FUN_80060a88	464	ABSENTE_DU_PORTAGE	-	1
0x8004BB70	FUN_8004bb70	460	ABSENTE_DU_PORTAGE	-	1
0x8004FFEC	FUN_8004ffec	460	ABSENTE_DU_PORTAGE	-	1
0x8005FD9C	FUN_8005fd9c	448	SOUCHE_BLOCKED	AnimCmdSound.cs	4
0x8005574C	LAB_8005574c	428	ABSENTE_DU_PORTAGE	-	0
0x8004B9CC	FUN_8004b9cc	420	ABSENTE_DU_PORTAGE	-	1
0x80026888	LAB_80026888	416	ABSENTE_DU_PORTAGE	-	0
