adresse_vs	nom_ghidra_vs	taille	etat_vs	issue	image_jumelle	adresse_jumelle	fichier_cs	nom_csharp	mots_differents
0x80021D44	FUN_80021d44	80	ABSENTE	PORTEE_AILLEURS	SELECT	0x80021CE4	SELECT_EXE/MemoryCard.cs	MemoryCard.InitializeMemoryCard	0
0x80021D94	FUN_80021d94	256	ABSENTE	PORTEE_AILLEURS	SELECT	0x80021D34	SELECT_EXE/MemoryCard.cs	MemoryCard.ShutdownMemoryCard	16
0x80021E94	FUN_80021e94	216	ABSENTE	PORTEE_AILLEURS	SELECT	0x80021E34	SELECT_EXE/MemoryCard.cs	MemoryCard.ProbeMemoryCard	2
0x80021F6C	FUN_80021f6c	168	ABSENTE	PORTEE_AILLEURS	SELECT	0x80021F0C	SELECT_EXE/MemoryCard.cs	MemoryCard.RepollMemoryCard	0
0x80022014	FUN_80022014	112	ABSENTE	PORTEE_AILLEURS	SELECT	0x80021FB4	SELECT_EXE/MemoryCard.cs	MemoryCard.QueryCardStatus	0
0x80022084	FUN_80022084	112	ABSENTE	PORTEE_AILLEURS	SELECT	0x80022024	SELECT_EXE/CardRecords.cs	CardRecords.GetFreeCardBlocks	0
0x800220F4	FUN_800220f4	64	ABSENTE	PORTEE_AILLEURS	SELECT	0x80022094	SELECT_EXE/CardRecords.cs	CardRecords.FormatMemoryCard	0
0x80022134	FUN_80022134	100	ABSENTE	PORTEE_AILLEURS	SELECT	0x800220D4	SELECT_EXE/MemoryCard.cs	MemoryCard.IsSaveFileMissing	0
0x80022198	FUN_80022198	152	ABSENTE	PORTEE_AILLEURS	SELECT	0x80022138	SELECT_EXE/CardRecords.cs	CardRecords.CreateSaveFile	0
0x80022230	FUN_80022230	116	ABSENTE	PORTEE_AILLEURS	SELECT	0x800221D0	SELECT_EXE/MemoryCard.cs	MemoryCard.FUN_800221d0	4
0x800222A4	FUN_800222a4	116	ABSENTE	PORTEE_AILLEURS	SELECT	0x80022244	SELECT_EXE/MemoryCard.cs	MemoryCard.FUN_80022244	4
0x80022318	FUN_80022318	72	ABSENTE	PORTEE_AILLEURS	SELECT	0x800222B8	SELECT_EXE/MemoryCard.cs	MemoryCard.FUN_800222b8	4
0x80022360	FUN_80022360	72	ABSENTE	PORTEE_AILLEURS	SELECT	0x80022300	SELECT_EXE/MemoryCard.cs	MemoryCard.FUN_80022300	4
0x800223A8	FUN_800223a8	360	ABSENTE	PORTEE_AILLEURS	SELECT	0x80022348	SELECT_EXE/MemoryCard.cs	MemoryCard.OpenMemoryCardEvents	16
0x80022510	FUN_80022510	584	ABSENTE	PORTEE_AILLEURS	SELECT	0x800224B0	SELECT_EXE/CardRecords.cs	CardRecords.WriteSaveHeader	0
0x80022758	FUN_80022758	280	ABSENTE	PORTEE_AILLEURS	SELECT	0x800226F8	SELECT_EXE/CardRecords.cs	CardRecords.WriteSaveRecord	0
0x80022870	FUN_80022870	308	ABSENTE	PORTEE_AILLEURS	SELECT	0x80022810	SELECT_EXE/MemoryCard.cs	MemoryCard.ReadSaveRecord	0
0x800229A4	FUN_800229a4	144	ABSENTE	JUMELLE_NON_PORTEE	TITLE	0x80023290	-	-	2
0x80022A34	FUN_80022a34	40	ABSENTE	JUMELLE_NON_PORTEE	TITLE	0x80023320	-	-	2
